schoolCode,schoolName,contactNumber
GU037,Dr. Vijaypat Singhania School Next To Raymond Company  N. H. No: 8  Valsad  India,"+919099093581
"
GU038,Jamnabai Narsee School Block 40Building No 40 AZone - 4  Road 4A  Gandhinagar  India,"079-71001701
"
HA001,St. Paul's High School 111  Model Town  Ambala City  Ambala  India,"0171-2520552
"
HA002,St. Thomas Higher Secondary School .  Jagadhri  Yamunanagar  India,"01732-247574
"
HA003,Bell Toll Public School Industrial Area  G. T. RoadAmbala City  Ambala  India,"9728064450
"
HA004,St. Joseph's High School .  Mandi Dabwali  Sirsa  India,"01668-226844
"
HA008,St. Kabir's Residential & Day School Sector 13 (p)  Dabra Road  Hisar  India,"09215649592
"
HA010,Lord Jesus Public School .  Vijay Park  GURUGRAM  India,"0124-2320525
"
HA011,Adarsh Public School Kunjpura Road  Near Power House  Karnal  India,"0184-2265620
"
HA012,Little Flower Convent School Sector 14 Panchkula  India,"0172-2574527
"
HA013,Golden Heights School Plot No. 4  Sector 56  GURUGRAM  India,"0124-4227354
"
HA014,Jiva Public School Sector 21 - B Faridabad  India,"0129-4294802
"
HA015,The Shri Ram School Moulsari Avenue  Phase - 3D.L.F. City  GURUGRAM  India,"0124-4784406
"
HA017,Rishi Public School Sector - 31 GURUGRAM  India,"0124-2381891
"
HA020,St. Xavier's High School Sector 20 Panchkula  India,"0172-2552577
"
HA021,The Shri Ram School Aravali  Hamilton Court Complex  Phase -4D.L.F. City  GURUGRAM  India,"0124-4784300
"
HA022,Saupin's School Sector 9 Panchkula  India,"9855512798
"
HA023,Lt. Atul Katarya Memorial School Opp. C.R.P.F. Camp GURUGRAM  India,"0124-4372523
"
HA025,St. Mary's Convent School Patiala Road  Narwana  Jind  India,"9729365933
"
HA026,Christ Raja Convent School Narwana Road Jind  India,"9896047550
"
HA027,Scottish High International School G - Block  Sushant Lok IiSector 57  GURUGRAM  India,"0124-4112781-90
"
HA030,Shikshantar Sr. Sec. School J - Block  South City I  GURUGRAM  India,"0124-4889100
"
HA032,The Shriram Millennium School Sector 81  Faridabad  India,"9953929999
"
HA033,Matrikiran High School 21  Matrikiran Avenue  Sector-83  Vatika India NextGURUGRAM  India,"01244938203
"
HA034,St Thomas Convent School Sandholi P.o.  Pehowa  Kurukshetra  India,"8607209624
"
HA035,The Alpine Top School 5 Km Mile StoneRatia Budhalada Road  Fatehabad  India,"09050645298
"
HP001,Dagshai Public School Dagshai Public School  Dagshai Cantt.Dagshai Cantt  Solan  India,"01792-266351
"
HP002,Sacred Heart Senior Secondary School Subhash Chowk  Dalhousie  Chamba  India,"01899-240203
"
HP003,Our Lady Of The Snows High School  Kullu  India,"01902-222747
"
HP004,Bishop Cotton School  Shimla  India,"0177-2620880
"
HP008,Auckland House School Circular Road Shimla  India,"0177-2807060
"
HP010,Shimla Public SchoolKhalini  Shimla  India,"0177-2003850
"
HP012,Gorton Mission School .  Kotgarh  Shimla  India,"01782-222378
"
HP013,Dayanand Adarsh Vidyalaya Dayanand Campus  Sunny Side  Solan  India,"01792-223892
"
HP014,Sacred Heart Sr. Sec. School P.O. Sidhpur  (via) DariDharamsala  Kangra  India,"01892-222428
"
HP016,International Sahaja Public School Talnoo Kangra  India,"01892-221225
"
HP017,Mount Carmel School Rakkar Colony  Rakkar Colony  Una  India,"01975-238427
"
HP018,Day Star School Post Box No. 2  Manali  Kullu  India,"01902-252100
"
HP019,Trinity School Bhuntar  Ramshila RoadMohal  Kullu  India,"01902-260542
"
HP022,St. Paul's Senior Secondary SchoolPalampur  Kangra  India,"01894-230612
"
HP023,Kullu Valley SchoolRamshila  Kullu  India,"01902-222895
"
HP024,Carmel Convent School Shimla Road  Nahan  Sirmaur  India,"01702-222809
"
HP025,St. Mary's School Sandal  Chakkar  Shimla  India,"0177-2831271
"
HP026,E.c.i. Chalet Day School The Mall  The Mall  Shimla  India,"0177-2803371
"
HP027,Mount Carmel School Thakurdwara  Thakurdwara  Kangra  India,"01894-238064
"
HP028,Mount Carmel School Panthehar Road  Baijnath  Kangra  India,"01894-263524
"
HP029,Mount Carmel High School Dhugiari (gaggal)  Gaggal  Kangra  India,"01892-231277
"
HP030,Auckland House School For Boys Belvedere Shimla  India,"01772651277
"
HP031,U. S. Global Public School V.p.o. Sanghnai  Tehsil Ghanari  Una  India,"01976242505
"
HP032,Dhaliara  Public  School V.p.o.  Dhaliara  Tehsil  Dehra  Kangra  India,
IN001,Rama Global School P.o. Box No. 60  PurwakartaJawa Barat  NA  Indonesia,"0062-264-207052
"
JH001,S. E. Railway Mixed Higher Secondary School ( E. M. ) P. O. Chakradharpur  Chakradharpur  West Singhbhum  India,"06587-239807
"
JH002,De Nobili School Maithon Dam P.O. Dhanbad  India,"06540-274377
"
JH003,De Nobili School Post Box No. 108  C.M.R.I.  Dhanbad  India,"0326-2396200
"
JH004,De Nobili School P.o. Mugma Dhanbad  India,"07631998028
"
JH005,De Nobili School P.O. Sindri Dhanbad  India,"0326-2245860
"
JH006,St. Xavier's School Sector 1 C  Bokaro Steel City  Bokaro  India,"06542-246259
"
JH007,Sacred Heart School Chianki P.O.  Daltonganj  Palamu  India,"09709441812
"
JH008,Carmel School P.o. Box No. 23  Opp. Circuit House  Dhanbad  India,"9122422210
"
JH009,De Nobili School P. O.F. R. I. Dhanbad  India,"0326-2381373
"
JH010,Carmel School P. O. - F. R. I. Dhanbad  India,"0326-2381323
"
JH011,De Nobili School Village: Koradih  P.o: Pradhan Khanta  Dhanbad  India,"7631998029
"
JH012,St. Francis School P.o. B. Deoghar Deoghar  India,"06432-222465
"
JH013,De Nobili School P.O. Chandrapura  Chandrapura  Bokaro  India,"7631998026
"
JH014,Carmel School P. O. Box No. 90 Giridih  India,"8789535979
"
JH015,St. Thomas School P.O. Godda Godda  India,"06422-222025
"
JH016,Patratu School Of Economics P.O. Patratu Thermal Power Station Ramgarh  India,"9431163251
"
